filename,width,height,depth,name,pose,truncated,occluded,x,y,w,h,difficult
Abyssinian_1.jpg,600,400,3,cat,Frontal,0,0,379.0,115.0,92,86,0
Abyssinian_10.jpg,375,500,3,cat,Frontal,0,0,180.0,198.0,216,186,0
Abyssinian_100.jpg,394,500,3,cat,Frontal,0,0,243.0,169.0,184,196,0
Abyssinian_101.jpg,450,313,3,cat,Frontal,0,0,186.5,135.5,265,199,0
Abyssinian_102.jpg,500,465,3,cat,Frontal,0,0,174.0,173.5,302,293,0
Abyssinian_103.jpg,500,351,3,cat,Frontal,0,0,301.5,132.0,121,128,0
Abyssinian_105.jpg,500,375,3,cat,Frontal,0,0,305.0,164.0,136,126,0
Abyssinian_106.jpg,1536,1024,3,cat,Frontal,0,0,1081.5,359.5,441,407,0
Abyssinian_107.jpg,500,448,3,cat,Frontal,0,0,184.5,173.5,181,195,0
Abyssinian_108.jpg,500,404,3,cat,Frontal,0,0,193.0,159.0,286,290,0
Abyssinian_109.jpg,282,450,3,cat,Frontal,0,0,163.5,76.5,165,139,0
Abyssinian_11.jpg,192,288,3,cat,Frontal,0,0,68.5,81.0,51,48,0
Abyssinian_110.jpg,400,319,3,cat,Frontal,0,0,100.0,85.0,150,154,0
Abyssinian_111.jpg,500,402,3,cat,Frontal,0,0,360.5,153.5,125,119,0
Abyssinian_112.jpg,490,500,3,cat,Frontal,0,0,272.5,178.5,321,323,0
Abyssinian_113.jpg,640,425,3,cat,Frontal,0,0,351.5,145.5,103,101,0
Abyssinian_114.jpg,640,423,3,cat,Frontal,0,0,286.5,124.5,129,121,0
Abyssinian_115.jpg,500,367,3,cat,Frontal,0,0,314.5,113.5,153,123,0
Abyssinian_116.jpg,333,500,3,cat,Frontal,0,0,160.0,116.5,178,147,0
Abyssinian_117.jpg,500,401,3,cat,Frontal,0,0,144.5,162.0,145,120,0
Abyssinian_118.jpg,333,500,3,cat,Frontal,0,0,129.0,168.5,256,269,0
Abyssinian_119.jpg,300,297,3,cat,Frontal,0,0,97.5,115.0,117,128,0
Abyssinian_12.jpg,335,500,3,cat,Frontal,0,0,152.5,136.5,117,107,0
Abyssinian_120.jpg,267,400,3,cat,Frontal,0,0,114.5,132.5,103,95,0
Abyssinian_121.jpg,242,233,3,cat,Frontal,0,0,131.5,75.5,127,125,0
Abyssinian_122.jpg,300,278,3,cat,Frontal,0,0,236.5,55.0,83,90,0
Abyssinian_123.jpg,500,333,3,cat,Frontal,0,0,243.0,151.0,180,140,0
Abyssinian_124.jpg,333,500,3,cat,Frontal,0,0,147.5,144.5,119,101,0
Abyssinian_125.jpg,500,359,3,cat,Frontal,0,0,304.0,99.5,178,153,0
Abyssinian_126.jpg,500,423,3,cat,Frontal,0,0,146.0,134.5,116,95,0
Abyssinian_127.jpg,266,400,3,cat,Frontal,0,0,137.5,287.0,83,82,0
